Timestamp,province,dayrate
4/6/2015 19:52:58,Gauteng,250
4/6/2015 19:52:58,Gauteng,125
4/6/2015 19:52:58,Gauteng,130
4/6/2015 19:52:59,Gauteng,250
4/6/2015 19:52:59,Free State,100
4/6/2015 19:52:59,Western Cape,220
4/6/2015 19:53:01,North West,190
4/6/2015 19:53:02,Western Cape,180
4/6/2015 19:53:06,Gauteng,175
4/6/2015 19:53:08,Western Cape,230
4/6/2015 19:53:08,Western Cape,150
4/6/2015 19:53:09,Western Cape,250
4/6/2015 19:53:10,KwaZulu-Natal,800
4/6/2015 19:53:13,Western Cape,150
4/6/2015 19:53:13,Western Cape,150
4/6/2015 19:53:14,Gauteng,100
4/6/2015 19:53:15,Western Cape,60
4/6/2015 19:53:15,Gauteng,210
4/6/2015 19:53:15,Gauteng,150
4/6/2015 19:53:16,Eastern Cape,44
4/6/2015 19:53:16,Gauteng,200
4/6/2015 19:53:19,Gauteng,200
4/6/2015 19:53:20,KwaZulu-Natal,150
4/6/2015 19:53:21,Gauteng,100
4/6/2015 19:53:21,Gauteng,182.25
4/6/2015 19:53:21,Western Cape,175
4/6/2015 19:53:25,KwaZulu-Natal,180
4/6/2015 19:53:25,Western Cape,250
4/6/2015 19:53:27,KwaZulu-Natal,200
4/6/2015 19:53:27,KwaZulu-Natal,170
4/6/2015 19:53:30,Western Cape,150
4/6/2015 19:53:31,Eastern Cape,44
4/6/2015 19:53:32,Gauteng,2500
4/6/2015 19:53:35,Gauteng,165
4/6/2015 19:53:37,Gauteng,180
4/6/2015 19:53:37,Gauteng,180
4/6/2015 19:53:41,Western Cape,245
4/6/2015 19:53:42,Mpumalanga,50
4/6/2015 19:53:43,Gauteng,122
